match_id,start_date,team1,team2,ground,result
3315,2013-01-03,Pakistan,India,Kolkata,Pakistan
3316,2013-01-06,Pakistan,India,Delhi,India
3317,2013-01-11,SriLanka,Australia,Melbourne,Australia
3318,2013-01-11,India,England,Rajkot,England
3319,2013-01-13,SriLanka,Australia,Adelaide,SriLanka
3320,2013-01-15,India,England,Kochi,India
3321,2013-01-18,SriLanka,Australia,Brisbane,SriLanka
3322,2013-01-19,India,England,Ranchi,India
3323,2013-01-19,SouthAfrica,New Zealand,Paarl,New Zealand
3324,2013-01-20,SriLanka,Australia,Sydney,n/r
3325,2013-01-22,SouthAfrica,New Zealand,Kimberley,New Zealand
3326,2013-01-23,SriLanka,Australia,Hobart,Australia
3327,2013-01-23,India,England,Mohali,India
3328,2013-01-25,SouthAfrica,New Zealand,Potchefstroom,SouthAfrica
3329,2013-01-27,India,England,Dharamsala,England
3330,2013-02-01,WestIndies,Australia,Perth,Australia
3331,2013-02-03,WestIndies,Australia,Perth,Australia
3332,2013-02-06,WestIndies,Australia,Canberra,Australia
3333,2013-02-08,WestIndies,Australia,Sydney,Australia
3334,2013-02-10,WestIndies,Australia,Melbourne,Australia
3335,2013-02-17,Newzealad,England,Hamilton,Newzealad
3336,2013-02-20,Newzealad,England,Napier,England
3337,2013-02-22,WestIndies,Zimbabwe,St George's,WestIndies
3338,2013-02-23,Newzealad,England,Auckland,England
3339,2013-02-24,WestIndies,Zimbabwe,St George's,WestIndies
3340,2013-02-26,WestIndies,Zimbabwe,St George's,WestIndies
3341,2013-03-06,Afghanistan,Scotland,Sharjah,Afghanistan
3342,2013-03-08,Afghanistan,Scotland,Sharjah,Afghanistan
3343,2013-03-10,SouthAfrica,Pakistan,Bloemfontein,SouthAfrica
3346,2013-03-15,SouthAfrica,Pakistan,Centurion,Pakistan
3347,2013-03-17,SouthAfrica,Pakistan,Johannesburg,SouthAfrica
3348,2013-03-21,SouthAfrica,Pakistan,Durban,Pakistan
3349,2013-03-23,SriLanka,Bangladesh,Hambantota,SriLanka
3350,2013-03-24,SouthAfrica,Pakistan,Benoni,SouthAfrica
3351,2013-03-25,SriLanka,Bangladesh,Hambantota,n/r
3352,2013-03-28,SriLanka,Bangladesh,Pallekele,Bangladesh
3353,2013-05-03,Bangladesh,Zimbabwe,Bulawayo,Bangladesh
3354,2013-05-05,Bangladesh,Zimbabwe,Bulawayo,Zimbabwe
3355,2013-05-08,Bangladesh,Zimbabwe,Bulawayo,Zimbabwe
3356,2013-05-17,Pakistan,Scotland,Edinburgh,Pakistan
3356,2013-05-19,Pakistan,Scotland,Edinburgh,n/r
3357,2013-05-23,Pakistan,Ireland,Dublin,tied
3358,2013-05-26,Pakistan,Ireland,Dublin,Pakistan
3359,2013-05-31,SouthAfrica,Netherlands,Amstelveen,SouthAfrica
3360,2013-05-31,Newzealad,England,Lord's,Newzealad
3361,2013-06-02,Newzealad,England,Southampton,Newzealad
3362,2013-06-05,Newzealad,England,Nottingham,England
3363,2013-06-06,SouthAfrica,India,Cardiff,India
3364,2013-06-07,WestIndies,Pakistan,The Oval,WestIndies
3365,2013-06-08,England,Australia,Birmingham,England
3366,2013-06-09,SriLanka,New Zealand,Cardiff,New Zealand
3367,2013-06-10,SouthAfrica,Pakistan,Birmingham,SouthAfrica
3368,2013-06-11,WestIndies,India,The Oval,India
3369,2013-06-12,Newzealad,Australia,Birmingham,n/r
3370,2013-06-13,SriLanka,England,The Oval,SriLanka
3371,2013-06-14,WestIndies,South Africa,Cardiff,tied
3372,2013-06-15,Pakistan,India,Birmingham,India
3373,2013-06-16,Newzealad,England,Cardiff,England
3374,2013-06-17,SriLanka,Australia,The Oval,SriLanka
3375,2013-06-19,SouthAfrica,England,The Oval,England
3376,2013-06-20,SriLanka,India,Cardiff,India
3377,2013-06-23,India,England,Birmingham,India
3378,2013-06-28,WestIndies,Sri Lanka,Kingston,WestIndies
3380,2013-06-30,WestIndies,India,Kingston,WestIndies
3382,2013-07-02,SriLanka,India,Kingston,SriLanka
3383,2013-07-05,WestIndies,India,Port of Spain,India
3385,2013-07-07,WestIndies,Sri Lanka,Port of Spain,Sri Lanka
3387,2013-07-09,SriLanka,India,Port of Spain,India
3388,2013-07-11,SriLanka,India,Port of Spain,India
3389,2013-07-14,WestIndies,Pakistan,Providence,Pakistan
