match_id,team,score,detailed_score
ODI no. 3337,West Indies,337/4,"337/4 (50 Overs, RR: 6.74)"
ODI no. 3337,Zimbabwe,181/9 ,"181/9 (50 Overs, RR: 3.62)"
ODI no. 3339,Zimbabwe,273/8,"273/8 (50 Overs, RR: 5.46)"
ODI no. 3339,West Indies,274/3 ,"274/3 (49 Overs, RR: 5.59)"
ODI no. 3340,Zimbabwe,211/9,"211/9 (50 Overs, RR: 4.22)"
ODI no. 3340,West Indies,215/5 ,"215/5 (46.2 Overs, RR: 4.64)"
ODI no. 3341,Scotland,199/8,"199/8 (50 Overs, RR: 3.98)"
ODI no. 3341,Afghanistan,203/3 ,"203/3 (33.5 Overs, RR: 6.0)"
ODI no. 3342,Scotland,259/9,"259/9 (50 Overs, RR: 5.18)"
ODI no. 3342,Afghanistan,261/5 ,"261/5 (48.4 Overs, RR: 5.36)"
ODI no. 3353,Bangladesh,269/8,"269/8 (50 Overs, RR: 5.38)"
ODI no. 3353,Zimbabwe,148 ,"148 all out (32.1 Overs, RR: 4.6)"
ODI no. 3354,Bangladesh,252/9,"252/9 (50 Overs, RR: 5.04)"
ODI no. 3354,Zimbabwe,253/4 ,"253/4 (47.5 Overs, RR: 5.28)"
ODI no. 3355,Bangladesh,247/9,"247/9 (50 Overs, RR: 4.94)"
ODI no. 3355,Zimbabwe,251/3 ,"251/3 (47.1 Overs, RR: 5.32)"
ODI no. 3356,Pakistan,231/7,"231/7 (50 Overs, RR: 4.62)"
ODI no. 3356,Scotland,135 ,"135 all out (39.4 Overs, RR: 3.4)"
ODI no. 3357,Pakistan,266/5,"266/5 (47 Overs, RR: 5.65)"
ODI no. 3357,Ireland,275/5 ,"275/5 (47 Overs, RR: 5.85)"
ODI no. 3358,Ireland,229/9,"229/9 (50 Overs, RR: 4.58)"
ODI no. 3358,Pakistan,230/8 ,"230/8 (48.4 Overs, RR: 4.72)"
ODI no. 3359,South Africa,341/3,"341/3 (50 Overs, RR: 6.82)"
ODI no. 3359,Netherlands,258/9 ,"258/9 (50 Overs, RR: 5.16)"
ODI no. 3395,Zimbabwe,228/7,"228/7 (50 Overs, RR: 4.56)"
ODI no. 3395,India,230/4 ,"230/4 (44.5 Overs, RR: 5.13)"
ODI no. 3397,India,294/8,"294/8 (50 Overs, RR: 5.88)"
ODI no. 3397,Zimbabwe,236/9 ,"236/9 (50 Overs, RR: 4.72)"
ODI no. 3399,Zimbabwe,183,"183 all out (46 Overs, RR: 3.97)"
ODI no. 3399,India,187/3 ,"187/3 (35.3 Overs, RR: 5.26)"
ODI no. 3402,Zimbabwe,144,"144 all out (42.4 Overs, RR: 3.37)"
ODI no. 3402,India,145/1 ,"145/1 (30.5 Overs, RR: 4.7)"
ODI no. 3403,Zimbabwe,163,"163 all out (39.5 Overs, RR: 4.09)"
ODI no. 3403,India,167/3 ,"167/3 (34 Overs, RR: 4.91)"
ODI no. 3404,Pakistan,244/7,"244/7 (50 Overs, RR: 4.88)"
ODI no. 3404,Zimbabwe,246/3 ,"246/3 (48.2 Overs, RR: 5.08)"
ODI no. 3406,Pakistan,299/4,"299/4 (50 Overs, RR: 5.98)"
ODI no. 3406,Zimbabwe,209 ,"209 all out (42.4 Overs, RR: 4.89)"
ODI no. 3408,Pakistan,260/6,"260/6 (50 Overs, RR: 5.2)"
ODI no. 3408,Zimbabwe,152 ,"152 all out (40 Overs, RR: 3.8)"
ODI no. 3409,Ireland,269/7,"269/7 (50 Overs, RR: 5.38)"
ODI no. 3409,England,274/4 ,"274/4 (43 Overs, RR: 6.37)"
ODI no. 3410,Australia,362/3,"362/3 (50 Overs, RR: 7.24)"
ODI no. 3410,Scotland,162 ,"162 all out (43.5 Overs, RR: 3.69)"
ODI no. 3417,Kenya,89,"89 all out (37.5 Overs, RR: 2.35)"
ODI no. 3417,Afghanistan,95/2 ,"95/2 (17.5 Overs, RR: 5.32)"
ODI no. 3418,Kenya,93,"93 all out (43.3 Overs, RR: 2.13)"
ODI no. 3418,Afghanistan,96/3 ,"96/3 (20.5 Overs, RR: 4.6)"
ODI no. 3472,Ireland,202,"202 all out (49.2 Overs, RR: 4.09)"
ODI no. 3472,West Indies,205/6 ,"205/6 (36.4 Overs, RR: 5.59)"
